Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards;*Image
1960;90;Devil's Eye, The;Drama;Kulle, Jarl;Andersson, Bibi;Bergman, Ingmar;20;No;Bergman.png
1955;95;Naked Night, The;Drama;Bj�rnstrand, Gunnar;Andersson, Harriet;Bergman, Ingmar;38;No;Bergman.png
1957;91;Wild Strawberries;Drama;Sj�str�m, Victor;Andersson, Bibi;Bergman, Ingmar;42;Yes;Bergman.png
1956;96;Seventh Seal, The;Drama;Sydow, Max von;Andersson, Bibi;Bergman, Ingmar;62;No;Bergman.png
1946;93;Crisis;Drama;Andersson, Wiktor;Baude, Anna-Lisa;Bergman, Ingmar;66;No;Bergman.png
1955;86;Dreams;Drama;Bj�rnstrand, Gunnar;Andersson, Harriet;Bergman, Ingmar;14;No;Bergman.png
1962;91;Through a Glass Darkly;Drama;Bj�rnstrand, Gunnar;Andersson, Harriet;Bergman, Ingmar;64;Yes;Bergman.png
1972;91;Cries & Whispers;Drama;Josephson, Erland;Andersson, Harriet;Bergman, Ingmar;18;Yes;Bergman.png

1996;113;High Heels2;Comedy;Bos�, Miguel;Abril, Victoria;Almod�var, Pedro;88;No;NicholasCage.png
1924;113;High Heels;Comedy;Bos�, Miguel3;Abril, Victoria3;Almod�var, Pedro3;100;No;NicholasCage.png
